iter	Passed	Remaining
149	6521	28261
150	6559	28193
151	6592	28105
152	6626	28022
153	6654	27912
154	6687	27829
155	6726	27766
156	6767	27717
157	6812	27679
158	6846	27601
159	6878	27513
160	6917	27457
161	6945	27354
162	6981	27283
163	7019	27221
164	7049	27129
165	7079	27038
166	7107	26939
167	7141	26866
168	7176	26795
169	7207	26709
170	7236	26617
171	7264	26522
172	7293	26433
173	7324	26350
174	7353	26263
175	7388	26195
176	7428	26148
177	7467	26095
178	7506	26042
179	7539	25968
180	7566	25875
181	7599	25804
182	7633	25736
183	7662	25651
184	7693	25576
185	7731	25522
186	7767	25463
187	7804	25405
188	7834	25326
189	7862	25242
190	7903	25198
191	7936	25131
192	7965	25050
193	7998	24984
194	8030	24913
195	8057	24830
196	8094	24777
197	8131	24722
198	8170	24674
199	8201	24603
200	8238	24551
201	8269	24480
202	8302	24418
203	8336	24355
204	8370	24295
205	8396	24212
206	8426	24140
207	8455	24065
208	8492	24015
209	8526	23956
210	8562	23901
211	8599	23851
212	8629	23781
213	8667	23733
214	8700	23672
215	8734	23615
216	8763	23545
217	8803	23502
218	8849	23477
219	8896	23455
220	8943	23430
221	8990	23408
222	9020	23339
223	9059	23296
224	9095	23244
225	9127	23182
226	9167	23139
227	9202	23087
228	9244	23051
229	9279	22996
230	9305	22922
231	9332	22848
232	9366	22794
233	9402	22743
234	9432	22678
235	9460	22608
236	9503	22576
237	9537	22521
238	9574	22473
239	9602	22406
240	9629	22335
241	9658	22271
242	9691	22215
243	9723	22156
244	9753	22094
245	9789	22045
246	9818	21983
247	9847	21918
248	9883	21870
249	9920	21824
250	9950	21763
251	9979	21700
252	10009	21640
253	10041	21585
254	10073	21529
255	10104	21472
256	10132	21408
257	10163	21351
258	10199	21304
259	10227	21241
260	10262	21193
261	10294	21138
262	10326	21084
263	10361	21036
264	10397	20990
265	10433	20945
266	10470	20901
267	10502	20848
268	10529	20785
269	10561	20731
270	10598	20688
271	10634	20643
272	10662	20582
273	10698	20537
274	10726	20477
275	10757	20423
276	10793	20379
277	10822	20320
278	10856	20273
279	10886	20218
280	10914	20158
281	10946	20107
282	10976	20052
283	11005	19996
284	11037	19944
285	11065	19886
286	11093	19828
287	11123	19774
288	11152	19718
289	11181	19664
290	11216	19619
291	11247	19567
292	11278	19516
293	11311	19468
294	11347	19425
295	11377	19372
296	11405	19317
297	11443	19277
298	11483	19241
299	11510	19184
300	11540	19132
301	11572	19082
302	11605	19036
303	11637	18987
304	11665	18932
305	11700	18889
306	11730	18837
307	11761	18788
308	11806	18760
309	11844	18721
310	11878	18676
311	11907	18623
312	11936	18572
313	11963	18517
314	11991	18462
315	12021	18413
316	12051	18361
317	12080	18311
318	12110	18260
319	12140	18210
320	12172	18163
321	12199	18109
322	12229	18059
323	12265	18020
324	12301	17978
325	12336	17936
326	12382	17911
327	12416	17867
328	12448	17821
329	12474	17767
330	12506	17720
331	12539	17675
332	12572	17632
333	12609	17593
334	12644	17551
335	12672	17500
336	12703	17452
337	12738	17411
338	12777	17375
339	12806	17326
340	12835	17276
341	12864	17228
342	12893	17179
343	12930	17140
344	12961	17093
345	12993	17048
346	13026	17006
347	13058	16960
348	13093	16920
349	13126	16877
350	13161	16836
351	13192	16790
352	13221	16742
353	13250	16694
354	13283	16651
355	13315	16606
356	13353	16570
357	13389	16530
358	13418	16483
359	13454	16444
360	13486	16400
361	13524	16363
362	13559	16323
363	13597	16287
364	13630	16244
365	13662	16200
366	13688	16149
367	13720	16106
368	13755	16066
369	13788	16024
370	13819	15979
371	13854	15940
372	13887	15898
373	13918	15853
374	13951	15811
375	13989	15775
376	14023	15734
377	14054	15690
378	14088	15650
379	14123	15610
380	14155	15567
381	14180	15516
382	14210	15471
383	14244	15431
384	14281	15394
385	14312	15350
386	14346	15310
387	14380	15270
388	14416	15232
389	14456	15197
390	14487	15154
391	14524	15117
392	14555	15073
393	14587	15032
394	14612	14982
395	14637	14933
396	14672	14893
397	14705	14852
398	14731	14805
399	14766	14766
400	14798	14724
401	14825	14678
402	14853	14632
403	14885	14591
404	14918	14549
405	14947	14505
406	14980	14465
407	15013	14424
408	15047	14385
409	15077	14342
410	15108	14300
411	15143	14261
412	15177	14222
413	15209	14180
414	15236	14135
415	15277	14102
416	15313	14064
417	15340	14018
418	15369	13975
419	15398	13932
420	15430	13891
421	15466	13853
422	15501	13815
423	15529	13771
424	15560	13729
425	15593	13689
426	15625	13649
427	15666	13616
428	15696	13574
429	15732	13537
430	15760	13493
431	15792	13453
432	15827	13414
433	15862	13376
434	15895	13337
435	15929	13298
436	15954	13252
437	15983	13210
438	16016	13170
439	16055	13136
440	16084	13093
441	16111	13049
442	16142	13008
443	16178	12971
444	16217	12937
445	16251	12898
446	16278	12854
447	16306	12812
448	16334	12769
449	16377	12737
450	16412	12700
451	16446	12662
452	16478	12622
453	16511	12583
454	16536	12538
455	16564	12496
456	16593	12454
457	16624	12413
458	16657	12375
459	16686	12333
460	16717	12292
461	16751	12255
462	16786	12218
463	16822	12181
464	16851	12140
465	16885	12102
466	16920	12065
467	16962	12033
468	16990	11991
469	17017	11948
470	17053	11912
471	17084	11872
472	17120	11836
473	17159	11801
474	17197	11766
475	17231	11728
476	17264	11690
477	17292	11648
478	17323	11609
479	17353	11568
480	17390	11533
481	17422	11494
482	17450	11453
483	17488	11417
484	17517	11377
485	17555	11342
486	17593	11307
487	17619	11265
488	17646	11223
489	17675	11182
490	17705	11142
491	17734	11101
492	17762	11060
493	17796	11023
494	17825	10983
495	17856	10944
496	17902	10914
497	17934	10876
498	17974	10842
499	18009	10805
500	18037	10765
501	18067	10725
502	18101	10688
503	18130	10648
504	18159	10607
505	18188	10568
506	18223	10531
507	18259	10495
508	18293	10458
509	18324	10419
510	18354	10380
511	18385	10341
512	18423	10307
513	18452	10267
514	18482	10228
515	18518	10192
516	18546	10152
517	18583	10116
518	18609	10075
519	18639	10036
520	18666	9996
521	18705	9961
522	18752	9931
523	18794	9899
524	18840	9868
525	18888	9839
526	18943	9813
527	18993	9784
528	19050	9759
529	19105	9733
530	19159	9706
531	19197	9670
532	19238	9637
533	19282	9604
534	19320	9569
535	19370	9540
536	19424	9513
537	19466	9479
538	19513	9449
539	19567	9421
540	19621	9393
541	19674	9365
542	19724	9335
543	19782	9309
544	19839	9282
545	19898	9256
546	19956	9230
547	20021	9207
548	20087	9183
549	20143	9155
550	20195	9126
551	20241	9093
552	20287	9061
553	20330	9027
554	20382	8997
555	20439	8969
556	20487	8938
557	20534	8905
558	20587	8875
559	20646	8848
560	20689	8814
561	20731	8779
562	20772	8744
563	20811	8708
564	20847	8671
565	20886	8634
566	20931	8601
567	20982	8570
568	21016	8532
569	21055	8496
570	21100	8462
571	21137	8425
572	21174	8388
573	21220	8355
574	21274	8324
575	21319	8290
576	21359	8255
577	21396	8218
578	21443	8184
579	21487	8150
580	21530	8115
581	21580	8083
582	21620	8047
583	21661	8011
584	21691	7971
585	21730	7935
586	21768	7898
587	21797	7858
588	21835	7822
589	21872	7784
590	21899	7744
591	21925	7703
592	21957	7664
593	21999	7629
594	22029	7590
595	22060	7550
596	22094	7512
597	22134	7476
598	22170	7439
599	22201	7400
600	22228	7360
601	22263	7322
602	22301	7285
603	22346	7251
604	22399	7219
605	22444	7185
606	22489	7150
607	22530	7115
608	22582	7082
609	22624	7047
610	22658	7008
611	22699	6973
612	22744	6938
613	22778	6900
614	22820	6864
615	22856	6827
616	22884	6787
617	22913	6747
618	22943	6708
619	22973	6669
620	23008	6632
621	23040	6593
622	23079	6556
623	23106	6517
624	23143	6480
625	23181	6443
626	23215	6405
627	23251	6368
628	23281	6329
629	23316	6291
630	23353	6254
631	23385	6216
632	23412	6176
633	23439	6137
634	23469	6098
635	23496	6058
636	23524	6019
637	23558	5981
638	23600	5946
639	23630	5907
640	23665	5870
641	23698	5832
642	23735	5795
643	23773	5758
644	23811	5722
645	23847	5684
646	23880	5647
647	23904	5607
648	23936	5569
649	23969	5531
650	23998	5492
651	24027	5454
652	24054	5414
653	24087	5377
654	24121	5339
655	24167	5305
656	24203	5267
657	24238	5230
658	24263	5191
659	24290	5152
660	24321	5114
661	24358	5077
662	24387	5039
663	24424	5002
664	24458	4965
665	24490	4927
666	24524	4890
667	24551	4851
668	24579	4813
669	24612	4775
670	24640	4737
671	24668	4698
672	24704	4661
673	24740	4625
674	24788	4590
675	24825	4553
676	24862	4517
677	24927	4485
678	24947	4445
679	24967	4405
680	24991	4367
681	25020	4329
682	25045	4290
683	25071	4251
684	25095	4213
685	25122	4174
686	25152	4137
687	25190	4100
688	25224	4063
689	25255	4026
690	25290	3989
691	25323	3952
692	25351	3914
693	25382	3876
694	25418	3840
695	25452	3803
696	25485	3766
697	25521	3729
698	25556	3692
699	25581	3654
700	25607	3616
701	25635	3578
702	25668	3541
703	25696	3504
704	25731	3467
705	25766	3430
706	25797	3393
707	25834	3356
708	25864	3319
709	25898	3282
710	25934	3246
711	25968	3209
712	26003	3172
713	26040	3136
714	26074	3099
715	26106	3062
716	26138	3025
717	26177	2989
718	26216	2953
719	26247	2916
720	26275	2878
721	26313	2842
722	26351	2806
723	26378	2769
724	26413	2732
725	26455	2696
726	26488	2659
727	26513	2622
728	26550	2585
729	26587	2549
730	26617	2512
731	26642	2474
732	26672	2438
733	26703	2401
734	26730	2363
735	26760	2326
736	26791	2290
737	26827	2253
738	26863	2217
739	26891	2180
740	26918	2143
741	26951	2106
742	26983	2070
743	27014	2033
744	27052	1997
745	27096	1961
746	27132	1925
747	27166	1888
748	27197	1851
749	27223	1814
750	27257	1778
751	27292	1742
752	27317	1705
753	27346	1668
754	27375	1631
755	27410	1595
756	27442	1558
757	27475	1522
758	27508	1485
759	27536	1449
760	27574	1413
761	27613	1377
762	27642	1340
763	27677	1304
764	27711	1267
765	27749	1231
766	27777	1195
767	27812	1158
768	27841	1122
769	27879	1086
770	27911	1049
771	27944	1013
772	27973	977
773	28003	940
774	28038	904
775	28071	868
776	28110	832
777	28144	795
778	28175	759
779	28213	723
780	28245	687
781	28276	650
782	28307	614
783	28339	578
784	28366	542
785	28395	505
786	28423	469
787	28456	433
788	28484	397
789	28512	360
790	28542	324
791	28577	288
792	28611	252
793	28644	216
794	28679	180
795	28716	144
796	28752	108
797	28778	72
798	28808	36
799	28843	0
