iter	Logloss
0	0.679158489
1	0.6657965536
2	0.653927029
3	0.6423150168
4	0.6308782483
5	0.6211435683
6	0.6122557203
7	0.6011705716
8	0.5910403646
9	0.5810408299
10	0.5746549199
11	0.5679596843
12	0.5620033298
13	0.5568994626
14	0.5514582743
15	0.5473201725
16	0.5421661801
17	0.5355425522
18	0.5316629011
19	0.5266238363
20	0.5236050701
21	0.5198413316
22	0.5158513885
23	0.5106831899
24	0.5064786745
25	0.5032107387
26	0.5007638164
27	0.4973263777
28	0.493856112
29	0.4910857362
30	0.4886780867
31	0.4864267768
32	0.4840506615
33	0.4823286418
34	0.4805483212
35	0.4775106612
36	0.4756328201
37	0.4736516169
38	0.4709946347
39	0.4692778672
40	0.467000122
41	0.4653976907
42	0.4632181801
43	0.4614234008
44	0.4597541062
45	0.4583094825
46	0.4568106131
47	0.4551600958
48	0.4533256969
49	0.4518132185
50	0.4502677672
51	0.4494316723
52	0.4478062689
53	0.4459644975
54	0.4450517223
55	0.4439572837
56	0.442093348
57	0.4409046587
58	0.4398716632
59	0.4387550578
60	0.4377997265
61	0.4362378573
62	0.4353141523
63	0.4344052502
64	0.4332325351
65	0.4322694872
66	0.4314846719
67	0.4306309016
68	0.4295007736
69	0.4286966506
70	0.427557535
71	0.4264732758
72	0.4255981455
73	0.4242213475
74	0.423611437
75	0.4228839198
76	0.421973553
77	0.4209066557
78	0.4200266355
79	0.4187816227
80	0.4178033571
81	0.4170255849
82	0.4164978165
83	0.4160583041
84	0.415514339
85	0.4149308516
86	0.4144360002
87	0.4138297139
88	0.4131557493
89	0.4125365323
90	0.4121964585
91	0.4115988442
92	0.4109567704
93	0.4105102428
94	0.4098032183
95	0.4090463621
96	0.4087658438
97	0.4080979172
98	0.4076075297
99	0.4071986125
100	0.4066299145
101	0.4059782594
102	0.4050391182
103	0.4042352697
104	0.4038008433
105	0.403247288
106	0.4026828887
107	0.402033885
108	0.4012628785
109	0.4009564461
110	0.40045276
111	0.3999540438
112	0.3993878441
113	0.3990736689
114	0.3986330669
115	0.3980283584
116	0.3974092476
117	0.3970685357
118	0.3966805661
119	0.3957648697
120	0.3952389692
121	0.3949196742
122	0.3945499018
123	0.3941054841
124	0.3931844525
125	0.3926062796
126	0.392429394
127	0.3917990028
128	0.3913160656
129	0.3910192588
130	0.3903710818
131	0.3898995111
132	0.3894420942
133	0.3890738738
134	0.3887053763
135	0.3882960231
136	0.388052007
137	0.3878430248
138	0.387380693
139	0.3871674918
140	0.3866296491
141	0.3864579932
142	0.3860222864
143	0.3857605875
144	0.3851623719
145	0.3850598655
146	0.3847895495
147	0.3845981837
148	0.3845093874
149	0.384098306
150	0.3837252626
151	0.3834565489
152	0.3832057394
153	0.3828648632
154	0.382574069
155	0.3822043008
156	0.3817717718
157	0.3817470679
158	0.3815190178
159	0.3810023028
160	0.3804659835
161	0.3801907898
162	0.3798813585
163	0.3797197085
164	0.3793346867
165	0.3791972615
166	0.3789197348
167	0.3789028143
168	0.3788713292
169	0.3782854469
170	0.3781813323
171	0.3781552379
172	0.3777566076
173	0.3777275538
174	0.3775268968
175	0.3773151308
176	0.3767302886
177	0.3765916394
178	0.3762862318
179	0.3761022061
180	0.375842052
181	0.3757893649
182	0.3757051638
183	0.3755534768
184	0.3753629788
185	0.3750469285
186	0.374877244
187	0.3747418895
188	0.374494838
189	0.3743402436
190	0.3742986656
191	0.3741801356
192	0.3740018936
193	0.3739177986
194	0.3736884091
195	0.3732480252
196	0.3730116127
197	0.3728863468
198	0.3727162121
199	0.3724776728
200	0.3721398508
201	0.3719407561
202	0.3719180452
203	0.3718031883
204	0.3713974346
205	0.3713009644
206	0.3710064022
207	0.3706608619
208	0.370437572
209	0.3702911865
210	0.3700455422
211	0.3697091193
212	0.3696875173
213	0.3696386147
214	0.3696141302
215	0.3695874181
216	0.3693626167
217	0.3688851143
218	0.3686892231
219	0.3684973763
220	0.3681982745
221	0.3680496219
222	0.3680212455
223	0.3678469206
224	0.3678221769
225	0.3675990858
226	0.3675457321
227	0.3672541551
228	0.3672377281
229	0.3671422664
230	0.3667667117
231	0.3665908171
232	0.3664058834
233	0.3662857278
234	0.3661132254
235	0.3659014177
236	0.3658554028
237	0.365836189
238	0.3658005296
239	0.3657561146
